"","S0-20.1","S0-20.2","S0-20.3","S20-40.1","S20-40.2","S20-40.3","S40-60.1","S40-60.2","S40-60.3","S60-80.1","S60-80.2","S60-80.3","S80-100.1","S80-100.2","S80-100.3"
"S80-100.3",-12.117208149623,-11.0115592927119,-9.90591043580075,-9.53901492470231,-8.15679827790385,-6.77458163110538,-6.86110483298855,-6.05702394916875,-5.25294306534894,-4.8746081627213,-4.39222742117055,-3.9098466796198,-3.88653068817447,-3.76309007465522,-3.63964946113597
"S80-100.2",-10.2456275454227,-9.42840797979607,-8.32597863299526,-8.04563174763321,-7.17109566782065,-5.90374294941894,-5.94585741889811,-5.4797768927516,-4.4826894579343,-4.23178199875595,-3.89165902782358,-3.50230549386783,-3.59029427376913,-3.43908469285673,-3.52857434245561
"S80-100.1",-8.3740469412223,-7.56004688570603,-6.74604683018977,-6.55224857056411,-5.7925764191483,-5.0329042677325,-5.03061000480767,-4.37152292766366,-3.71243585051965,-3.5889558347906,-3.34186007145324,-3.09476430811587,-3.29405785936378,-3.35577854156951,-3.41749922377524
"S60-80.3",-9.91375988308173,-9.34122143167411,-8.76868298026648,-8.65882843164255,-7.91504726277233,-7.17126609390211,-5.44382891259626,-4.77481341087714,-4.10579790915802,-3.87733102211094,-3.74092475171542,-3.60451848131989,-3.82298545024919,-3.87240534299293,-3.92182523573666
"S60-80.2",-7.72310260727173,-7.00203271600207,-6.69910954231753,-6.61886105712342,-5.73061999262464,-5.90051443398875,-4.30538993220965,-3.84223294367041,-3.01253240082266,-3.01209642820843,-2.73067610013188,-2.86332433542557,-3.18063602227555,-2.92429581099568,-3.71190711765259
"S60-80.1",-5.53244533146174,-5.08099071791516,-4.62953610436858,-4.57889368260428,-4.60432822833983,-4.62976277407539,-3.16695095182304,-2.54310892215517,-1.91926689248731,-2.14686183430593,-2.13449601191859,-2.12213018953125,-2.5382865943019,-3.02013779693521,-3.50198899956852
"S40-60.3",-4.1424271460569,-3.70854698183658,-3.27466681761626,-4.53046286100904,-4.27835577771864,-4.02624869442824,-4.7417370738566,-4.34368544921656,-3.94563382457652,-2.72741087450625,-2.74002458992164,-2.75263830533702,-3.72320311340796,-4.43626099602472,-5.14931887864149
"S40-60.2",-2.0451739595602,-1.41017417565851,-1.18627941600928,-2.26523143050452,-1.55078422326356,-2.10146757909263,-2.60027224175548,-1.82770354972966,-2.3549273038375,-1.07704207168701,-0.701886584317141,-0.965136364593382,-2.13306615419404,-1.87056615704383,-3.73210283143128
"S40-60.1",0.0520792269365096,0.477093606267102,0.902107985597694,0,-0.0883432318785062,-0.176686463757013,-0.458807409654359,-0.611514096376423,-0.764220783098487,0.573326731132239,0.697846153641249,0.82236557615026,-0.542929194980126,-1.4289079896006,-2.31488678422107
"S20-40.3",-0.893097496409841,-0.505679908801135,-0.118262321192429,0.455085654266774,0.566863483678829,0.678641313090884,0.707170799020971,0.644599255113484,0.582027711205998,0.604156995258781,0.354484930586292,0.104812865913804,-0.968383863876495,-2.3139410500085,-3.65949823614051
"S20-40.2",1.27138518191392,2.15980622753687,1.04443644057201,1.89187438693901,2.25990760550255,2.19186373359327,2.25601638638591,2.66792511473748,1.96951242862212,1.97843215993178,2.17529982275029,1.8162204793133,0.410102017476368,0.20909670127022,-1.4440623947422
"S20-40.1",3.43586786023768,2.82150153128707,2.20713520233645,3.32866311961125,3.51687463685345,3.70508615409565,3.80486197375085,3.58092955989455,3.35699714603825,3.35270732460479,3.44016770865879,3.5276280927128,1.78858789882923,1.27998067274267,0.771373446656104
"S0-20.3",4.10878869146883,4.00829852057529,3.90780834968175,3.91115690255107,4.02439761418463,4.1376383258182,2.63315650389237,2.27338542497101,1.91361434604964,3.10990573131478,3.23464036380559,3.3593749962964,2.3376886462891,1.58071300029849,0.823737354307879
"S0-20.2",5.60827664623582,5.92046385576461,5.55754525020704,5.57395962478786,6.00889928293127,5.8367258493517,4.34154016419501,4.71538561366288,3.47522878986205,4.70869948066994,5.05410535922989,5.30007361325772,4.30419672919487,4.56540894669972,2.95492900410944
"S0-20.1",7.10776460100282,7.15752337586758,7.20728215073234,7.23676234702464,7.38628785995492,7.5358133728852,6.04992382449764,5.54338352908605,5.03684323367446,6.3074932300251,6.77413273012207,7.24077223021905,6.27070481210064,5.67841273300582,5.08612065391099
