"","S0-20.1","S0-20.2","S0-20.3","S20-40.1","S20-40.2","S20-40.3","S40-60.1","S40-60.2","S40-60.3","S60-80.1","S60-80.2","S60-80.3","S80-100.1","S80-100.2","S80-100.3"
"S80-100.3",-20.5736580745292,-18.6428411871244,-16.7120242997195,-16.9658359697634,-15.5284075452787,-14.0909791207939,-14.6576857861447,-13.1312460040799,-11.6048062220152,-12.7966808926859,-11.3510189384051,-9.90535698412431,-10.2844680328873,-8.20586521516518,-6.12726239744303
"S80-100.2",-17.4919268075127,-16.0572098965174,-14.3566125222625,-14.1786721173072,-13.1140688312605,-11.3376361355837,-11.6194219598172,-10.3017375569365,-9.27257639881806,-9.76464597525967,-8.49415431419489,-7.47759183925012,-7.65734824688883,-6.18617711640335,-4.67910452966581
"S80-100.1",-14.4101955404961,-13.2056981426508,-12.0012007448055,-11.391508264851,-9.98790070761219,-8.58429315037341,-8.58115813348961,-7.76075235455529,-6.94034657562098,-6.73261105783341,-5.89121887610467,-5.04982669437593,-5.03022846089033,-4.13058756138946,-3.2309466618886
"S60-80.3",-12.1395392621696,-11.0331444747796,-9.9267496873896,-10.0248954727775,-8.87265410271074,-7.72041273264397,-9.60692925466389,-8.22900910566868,-6.85108895667346,-7.06763527189775,-6.02793270626636,-4.98823014063498,-5.32394951421001,-4.62496765404472,-3.92598579387944
"S60-80.2",-10.6241983707431,-10.2443780255302,-7.30895449799817,-8.05526667681792,-7.40551693383535,-5.2279127425883,-6.80428604340768,-5.70785038979704,-4.2536249996084,-4.27896669540417,-3.26290274734725,-2.43544621424408,-2.66197475710501,-1.82076336649474,-1.26789998194521
"S60-80.1",-9.10885747931658,-6.90000839396167,-4.69115930860675,-6.08563788085833,-4.41052531669548,-2.73541275253263,-4.00164283215147,-2.8289019373474,-1.65616104254333,-1.49029811891059,-0.686480203381887,0.117337712146812,0,0.695092914994505,1.39018582998901
"S40-60.3",-8.85258508655285,-7.03154595314089,-5.21050681972894,-6.33341371849137,-4.92441933529661,-3.51542495210184,-2.96813612517667,-1.73817573022942,-0.508215335282167,-0.495884718617058,0.0660920010658139,0.628068720748686,0.525690375998364,1.35723138255802,2.18877238911768
"S40-60.2",-7.29074333896168,-6.50731250858654,-3.39950751263523,-4.40581121676721,-3.60620374794497,-1.44965544074773,-1.00909802881392,-0.335728135863836,1.94634168059024,1.51774807093844,1.93680291966609,3.54109162463193,3.01880192066182,3.75340493959153,5.06812440928541
"S40-60.1",-5.72890159137052,-3.65870489845602,-1.58850820554153,-2.47820871504305,-0.931047322218338,0.616114070606375,0.949940067548827,2.67541938200574,4.40089869646266,3.53138086049394,4.99274769450455,6.45411452851517,5.51191346532529,6.72969494738922,7.94747642945315
"S20-40.3",-6.86533044599352,-4.84227384702761,-2.8192172480617,-2.13978110921624,-0.501721404480268,1.13633830025571,0.284494844377921,1.99579705526512,3.70709926615231,3.04378629585596,4.33268559303542,5.62158489021488,5.81654350505598,6.65264698122676,7.48875045739754
"S20-40.2",-4.60714393391343,-3.43419117326887,-0.971598667513828,-0.131305098507478,0.650981666208893,3.66220296754373,2.78700904662587,3.81526950026101,6.31038806699484,5.90649579101407,7.01790995589094,8.19024651820308,8.42728257068368,9.15994464618483,10.6156837628191
"S20-40.1",-2.34895742183333,-0.736468754399644,0.876019913034043,1.87717091220129,4.03261927351652,6.18806763483175,5.28952324887383,7.1016000583556,8.91367686783738,8.76920528617218,9.76405671618173,10.7589081461913,11.0380216363114,12.390319352276,13.7426170682407
"S0-20.3",-1.9548013537898,-0.375410519395893,1.20398031499802,0.606647682450361,2.61266433971381,4.61868099697727,6.65774041717258,8.06487676736197,9.47201311755136,9.05003193031698,10.1625445583682,11.2750571864193,11.7096421285197,12.8486498863756,13.9876576442315
"S0-20.2",0.130819424067981,0.893482408445157,3.9039607675988,3.35523900299223,4.57917649451714,7.22613032922482,8.670992275474,9.31339087694174,12.3360587784726,11.5636453967509,12.3159657408533,14.4055153709286,14.1360052978495,14.9713473065348,16.6380237060057
"S0-20.1",2.21644020192577,4.41019071106267,6.60394122019958,6.1038303235341,7.96870499250324,9.83357966147237,10.6842441337754,12.9421742865847,15.2001044393939,14.0772588631847,15.8066162093113,17.5359735554379,16.5623684671792,17.9253791174796,19.28838976778
