SiteName,X1,X2,Y1,Y2
T-SX,14,14.9,0,10.6
T-SX,11.8,5.8,0,7.9
T-SX,4.7,11.1,0,25.6
T-SX,8.7,12.4,0,13.1
T-SX,19.1,14.5,20.7,14.6
T-SX,0,5,19,19.4
T-SX,0,6.7,13,16
T-SX,4.9,22.9,41.8,64.8
T-SX,13.8,7.1,60.1,68.1
T-SX,0,9,68.4,42.2
T-SX,2.3,23.6,91.2,90.1
T-SX,12.6,21.7,92.3,75.9
T-SX,8.1,20.9,83.5,81
T-SX,20.05,22.8,4.4,14.7
T-SX,22.5,27.7,4.3,11.7
T-SX,31.1,42.2,19.9,0
T-SX,23.9,15.7,21.2,31.4
T-SX,34.1,41.3,21.9,29.4
T-SX,35.5,34,34.3,56.1
T-SX,20.7,27.5,88.2,62.9
T-SX,20,35.6,67.5,98.1
T-SX,33.4,27.7,74.5,78.8
T-SX,22.5,29,100,94.4
T-SX,21.6,48.7,95.6,81.2
T-SX,34.2,44.5,94.7,66.4
T-SX,20.3,36,93.2,70
T-SX,20.7,25,87.9,63.7
T-SX,29.1,46.6,93.4,83.3
T-SX,33.9,54.7,93.9,74.5
T-SX,38.9,47.6,90.3,76.4
T-SX,31.1,38,81.9,86.5
T-SX,32.4,23.4,82.5,85.9
T-SX,41.7,20.3,96.6,99.2
T-SX,44.7,37.6,84.4,99
T-SX,54.6,51.6,95.1,99.1
T-SX,54.8,42.2,84.7,85.4
T-SX,56,41.8,76.1,75.4
T-SX,54.4,51.2,71.4,76.3
T-SX,44.2,46.1,62.2,100
T-SX,50,55.3,70,48.6
T-SX,51.7,71.3,67.5,100
T-SX,51.5,71.5,52.4,13.2
T-SX,40.2,56.5,54.2,13.9
T-SX,59.9,49.2,20.1,20.3
T-SX,57.1,78.9,32.1,59
T-SX,56.1,62.6,41.7,8.3
T-SX,49.6,50.5,7.1,0
T-SX,84.9,39.3,13,6.6
T-SX,70.5,64.5,6.7,2.8
T-SX,63.6,49.6,5.1,0
T-SX,69.2,51.9,51,76.7
T-SX,74.4,60.9,57.5,86.5
T-SX,70.5,79.8,53.7,48.8
T-SX,70,97.4,40.5,57
T-SX,78.5,82.6,48.8,40.1
T-SX,70.1,70.8,70.7,100
T-SX,80,74,93.4,74.9
T-SX,78.9,64.9,80.2,83.4
T-SX,75.1,72.8,84,65.5
T-SX,71.4,65.1,82.9,100
T-SX,71.8,69,86.1,99.1
T-SX,69.1,64.5,82.5,100
T-SX,62.4,68,100,91
T-SX,66,53.4,89,100
T-SX,90.3,84.9,80.6,98.4
T-SX,94.2,82.1,82.2,76.6
T-SX,98.2,80.9,85.8,71.8
T-SX,97.3,89.4,81.2,93
T-SX,89.7,99,100,87.1
T-SX,94,100,92.9,93.1
T-SX,98.5,81.5,97.8,85.9
T-SX,93.1,91.7,88.3,78
T-SX,90.7,78.2,95,96.5
T-SX,88.6,78.9,97.3,84
T-SX,83,75.3,100,74.8
T-SX,81.4,100,73.7,63
T-SX,90,77.9,74.3,57.6
T-SX,88.1,98.5,79.2,76
T-SX,99.2,95.4,78.9,71.7
T-SX,95.6,100,74.3,68.9
T-SX,95.7,78.6,77,74.6
T-SX,87.7,99.2,56.4,68.7
T-SX,89.5,83,43.5,52.8
T-SX,91.2,93.2,37.1,53.4
T-SX,83.2,80.2,27.4,13.3
T-SX,82.5,94.3,21.1,50.3
T-SX,88.9,94.4,27.8,55.9
T-SX,93.7,99.5,26.5,14
T-SX,100,93.6,29.6,33.5
T-SX,91.3,89.3,3,9.3
W-FR,5.8,11.8,22.6,23.9
W-FR,6.5,2.8,55.8,49.6
W-FR,10.7,0,53.9,54.1
W-FR,14.4,8.2,54.4,54.2
W-FR,2.6,5.8,56.3,61.6
W-FR,14.4,14.3,81.8,88
W-FR,30.9,34.4,92.7,88.4
W-FR,33.2,29.4,77.7,82.2
W-FR,31.7,9.5,46.8,69
W-FR,25.9,30.4,9.7,13.9
W-FR,44.1,37.5,17.8,17.6
W-FR,44.7,44.7,17.7,35.3
W-FR,41,48.5,20.9,14.9
W-FR,44.7,35,54.2,55.7
W-FR,42.1,48.3,51.8,56.3
W-FR,43.9,45.3,44.6,52.3
W-FR,41,9.8,40.5,51.2
W-FR,54,35.7,43.1,40.2
W-FR,47.2,18.8,85.4,96.9
W-FR,50,60.2,90,92.4
W-FR,50.5,40.1,90.5,90.1
W-FR,68.3,68.5,94.8,100
W-FR,71.5,77.4,82.5,82.9
W-FR,78.5,69.5,89.5,83.7
W-FR,77.2,80.8,88.1,93.9
W-FR,73.8,66.3,75.2,77.5
W-FR,73.8,70.8,73.5,81.7
W-FR,76.4,79.5,69.9,87.5
W-FR,79.4,84.5,53.5,50.1
W-FR,76.7,77.4,46.5,54.4
W-FR,73.9,55.1,35.4,17.2
W-FR,60.6,45.6,23.2,43.9
W-FR,64.7,71.1,21.7,21.4
W-FR,62.8,71.1,2.8,28.3
W-FR,88,80.9,0,7.9
W-FR,90.2,81.2,4,14
W-FR,88.3,94,10.2,6.3
W-FR,96.3,95.3,5,14.4
W-FR,95.4,92.9,38.4,62.3
W-FR,87.2,100,26.7,42.9
W-FR,83.3,78.9,57.7,75.2
W-FR,81.9,80,46.1,51.9
W-FR,80.7,79.6,40.1,46.4
W-FR,99.1,94.7,50.7,58.9
W-FR,86.9,62.7,79.5,82
W-FR,98.6,97.5,69.2,76.4
W-FR,99.9,97.7,72.3,86.3
W-FR,81.5,73.6,69.9,73.4
W-FR,90.4,85.2,60.4,56
W-FR,89.5,81.6,98,99.3
W-FR,90.5,100,93,100
W-FR,100,94.3,86.3,92.6
W-FR,88.6,88.6,83.7,76.8
