UniqueLog,SiteName,LogID,splot1,X1,Y1,splot2,X2,Y2,Direction,Length,Diameter,Log.BA,logdecomp
1,T-BT,1,1,15.9,7.2,10,21.9,0.3,139,9.1,0.847,7.742,1
2,T-BT,2,1,7,10.2,2,8.7,34.5,4,24.4,1.534,37.373,3
3,T-BT,3,2,7.2,24.7,2,0.2,22,249,7.5,1.337,10.030,1
4,T-BT,4,2,15.8,39.5,7,26,67.4,20,29.7,1.019,30.258,1
5,T-BT,5,3,11.9,57,2,10.7,39.5,184,17.5,0.395,6.924,1
6,T-BT,6,3,16.2,59.2,3,0.9,51.1,242,17.3,0.242,4.188,1
7,T-BT,7,4,11.8,60.1,5,18.4,100,9,40.4,1.572,63.593,2
8,T-BT,8,4,15.6,61.7,8,29.2,41.6,146,24.3,0.321,7.802,3
9,T-BT,9,6,30.4,86.8,2,7.7,33.4,203,58.0,1.920,111.407,1
10,T-BT,10,6,24.5,85.4,5,13.3,88.4,285,11.6,0.210,2.435,2
11,T-BT,11,6,24.2,97.3,6,30.8,85.8,150,13.3,0.287,3.805,2
12,T-BT,12,6,24.9,92.8,15,45.5,86.5,107,21.5,0.281,6.053,2
13,T-BT,13,6,36.6,100,6,34.4,90.4,193,9.8,1.010,9.947,1
14,T-BT,14,6,39,80.4,6,27.7,83.8,287,11.8,0.674,7.953,2
15,T-BT,15,7,35.8,74.2,13,48.1,52.1,151,25.3,1.542,39.001,3
16,T-BT,16,6,27.5,80.7,7,29.3,65.7,173,15.1,0.279,4.215,1
17,T-BT,17,7,21.7,77.9,7,36.1,70.2,118,16.3,0.720,11.757,1
18,T-BT,18,7,23.8,70.5,14,42.4,76.9,71,19.7,0.490,9.638,2
19,T-BT,19,7,28.4,61.1,13,57.1,57.1,98,29.0,1.090,31.585,1
20,T-BT,20,8,23.8,45.3,8,38.9,40.4,108,15.9,0.229,3.635,2
21,T-BT,21,8,35.9,52,18,61.2,51.6,91,25.3,0.262,6.629,2
22,T-BT,22,9,22.9,39.3,10,33.1,0,166,40.6,1.230,49.941,2
23,T-BT,23,10,28.2,10.5,1,17.4,10.1,268,10.8,0.223,2.410,3
24,T-BT,24,11,56.7,3.6,21,83.3,0.3,97,26.8,0.212,5.682,3
25,T-BT,25,12,48.2,20.5,10,38.8,8.4,218,15.3,0.201,3.080,2
26,T-BT,26,12,45.2,33.1,11,56.1,13.5,151,22.4,0.285,6.392,3
27,T-BT,27,12,50.4,35.5,11,50.8,11.9,179,23.6,0.253,5.972,4
28,T-BT,28,12,51.3,34.2,11,47.6,13.1,190,21.4,0.248,5.313,3
29,T-BT,29,12,55.6,26.6,11,48.2,14.7,212,14.0,0.206,2.887,3
30,T-BT,30,12,59.8,22.9,11,51.5,1.2,201,23.2,1.560,36.244,1
31,T-BT,31,12,52.3,23.2,10,34.3,1,219,28.6,1.620,46.300,1
32,T-BT,32,13,49.1,44.3,2,15,36.4,257,35.0,0.960,33.603,1
33,T-BT,33,14,44.9,68.4,14,54.7,65.6,106,10.2,0.622,6.340,1
34,T-BT,34,14,49,61.4,18,68.1,59.4,96,19.2,0.764,14.672,1
35,T-BT,35,14,48.7,70.8,17,65.2,76.2,72,17.4,0.274,4.757,3
36,T-BT,36,15,47.4,82.7,5,8.6,84.1,272,38.8,1.640,63.673,2
37,T-BT,37,15,46.3,97.7,15,57.6,98.9,84,11.4,1.560,17.727,1
38,T-BT,38,15,51.2,95.5,14,48.7,67.4,185,28.2,0.304,8.576,3
39,T-BT,39,15,52.2,95.8,15,54.8,86.9,164,9.3,0.211,1.956,3
40,T-BT,40,15,51,100,15,45.3,87.7,205,13.6,0.700,9.490,1
41,T-BT,41,15,52,95.2,16,71.6,95.9,88,19.6,0.237,4.648,3
42,T-BT,42,15,51,89.3,17,65.7,73,138,21.9,0.239,5.246,3
43,T-BT,43,16,60.2,81.5,16,79.4,85.9,77,19.7,0.292,5.752,3
44,T-BT,44,16,68,100,16,66.9,83.7,184,16.3,1.080,17.644,1
45,T-BT,45,16,74.7,100,16,74.7,86.1,180,13.9,0.294,4.087,2
46,T-BT,46,16,74.8,100,16,74,92.2,186,7.8,0.227,1.780,2
47,T-BT,47,16,79.7,100,16,77.7,91.1,193,9.1,1.700,15.507,2
48,T-BT,48,17,63,67.4,18,69,55.1,154,13.7,0.244,3.339,2
49,T-BT,49,18,78.1,46.1,23,88,52,59,11.5,0.720,8.298,1
50,T-BT,50,18,62.2,54,20,75.8,18.5,159,38.0,1.480,56.264,1
51,T-BT,51,19,62.7,23,11,58.9,10.6,197,13.0,0.310,4.020,2
52,T-BT,52,19,63.3,23.9,19,76.7,23.2,93,13.4,0.356,4.777,2
53,T-BT,53,19,74.6,37.5,24,100,71.9,43,42.8,1.660,70.984,1
54,T-BT,54,19,70.7,22,22,80.1,29.9,50,12.3,0.221,2.714,2
55,T-BT,55,20,77.8,0,20,68.5,17.6,332,19.9,1.020,20.304,1
56,T-BT,56,21,83.5,2.1,21,83.8,17.7,1,15.6,0.314,4.899,3
57,T-BT,57,21,94.9,16.3,21,96.4,0,175,16.4,1.720,28.154,1
58,T-BT,58,21,83.2,0,21,84.7,14,6,14.1,0.350,4.928,2
59,T-BT,59,22,100,31.1,20,67.3,6.4,233,41.0,1.280,52.455,1
60,T-BT,60,24,88.5,60,24,99,60.4,88,10.5,1.640,17.232,1
61,T-BT,61,24,86.7,62.7,24,100,61.7,94,13.3,1.120,14.938,1
62,T-BT,62,23,88.3,53.9,24,100,65.1,54,16.2,0.408,6.608,1
63,T-BT,63,24,97.6,71.4,24,88.6,61.7,223,13.2,0.246,3.255,2
64,T-BT,64,24,92.9,77.8,24,100,60.3,158,18.9,0.320,6.043,3
65,T-MF,1,1,0.6,9.7,2,12.8,22.3,44,17.5,0.218,3.823,2
66,T-MF,2,1,0,14.7,1,1.4,0,175,14.8,0.233,3.441,3
67,T-MF,3,1,0,6.4,1,8.2,1.8,119,9.4,0.220,2.068,3
68,T-MF,4,1,0,6.8,1,5.6,0,150,8.8,0.309,2.722,3
69,T-MF,5,1,5.3,0,1,3.9,6.7,348,6.8,0.215,1.472,3
70,T-MF,6,1,4.8,0.8,1,6,12,6,11.3,0.500,5.632,2
71,T-MF,7,1,6,1.4,1,16.3,0.5,95,10.3,0.440,4.549,1
72,T-MF,8,1,10,0,1,10.3,10,2,10.0,0.226,2.261,3
73,T-MF,9,1,16.6,16.7,1,4,8.8,238,14.9,0.274,4.075,3
74,T-MF,10,1,15.2,15.7,1,16.4,10.8,166,5.0,0.253,1.276,3
75,T-MF,11,1,16,11.2,1,7.8,1.1,219,13.0,0.240,3.122,3
76,T-MF,12,1,12.1,7.7,1,19.2,0,141,10.5,0.377,3.949,3
77,T-MF,13,1,16,5.8,10,33.6,0,115,18.5,0.230,4.262,2
78,T-MF,14,2,16.3,27.7,2,0.7,30.2,279,15.8,0.239,3.776,2
79,T-MF,15,2,15.5,29.6,9,27,26.9,103,11.8,0.310,3.662,4
80,T-MF,16,2,15.6,32.3,9,22.7,23.2,142,11.5,0.330,3.809,3
81,T-MF,17,2,18.7,33.3,9,24.8,36.1,65,6.7,0.235,1.577,1
